number,site,long,lat,species,sex,date,time,wt,svl,tail,bt,at,month,note_book,time_orig,season,diel,adult,dug,total_v
15077,KLL,20.43,-26.23,Trachylepis occidentalis,F,1969-11-28,11.67,NA,75,72,NA,NA,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1140,spring,diurnal,no,no,0.075
15078,KLL,20.43,-26.23,Pedioplanis lineoocellata,M,1969-11-29,11.75,NA,56,137,39.2,31.4,11,5.Kalahari-LC-FieldBook-16426-18493.pdf,1145,spring,diurnal,yes,no,0.06
15079,KLL,20.43,-26.23,Trachylepis occidentalis,M,1969-11-28,11.92,NA,62,94,NA,NA,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1155,spring,diurnal,no,no,0.135
15080,KLL,20.43,-26.23,Agama aculeata,F,1969-11-28,12,NA,90,111,NA,NA,11,2.Kalahari-LC-FieldBook-15001-16385.pdf,1200,spring,diurnal,yes,no,1.2
15081,KLL,20.43,-26.23,Pedioplanis namaquensis,F,1969-11-28,12.08,NA,53,NA,39,31.7,11,6.Kalahari-RBH-FieldBook-18494-19947.pdf,1205,spring,diurnal,yes,no,0.002
15082,KLL,20.43,-26.23,Trachylepis occidentalis,F,1969-11-28,12.17,NA,61,109,36.8,30.5,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1210,spring,diurnal,no,no,0.06
15083,KLL,20.43,-26.23,Meroles suborbitalis,F,1969-11-28,12.42,NA,60,117,37.2,30,11,4.Kalahari-RBH-FieldBook-16113-18503.pdf,1225,spring,diurnal,yes,no,0.055
15084,KLL,20.43,-26.23,Trachylepis sparsa,M,1969-11-28,12.58,NA,82,82,NA,NA,11,8.Kalahari-RBH-FieldBook-19961-21537.pdf,1235,spring,diurnal,yes,no,0.305
15086,KLL,20.43,-26.23,Agama aculeata,F,1969-11-28,16.33,NA,92,109,NA,NA,11,2.Kalahari-LC-FieldBook-15001-16385.pdf,1620,spring,diurnal,yes,no,1
15087,KLL,20.43,-26.23,Agama aculeata,F,1969-11-28,16.47,NA,93,112,38,31,11,2.Kalahari-LC-FieldBook-15001-16385.pdf,1628,spring,diurnal,yes,no,1.3
15088,KLL,20.43,-26.23,Meroles suborbitalis,M,1969-11-28,16.72,NA,56,83,NA,31.6,11,4.Kalahari-RBH-FieldBook-16113-18503.pdf,1643,spring,diurnal,yes,no,0.04
15089,KLL,20.43,-26.23,Pedioplanis namaquensis,F,1969-11-28,16.92,NA,58,120,38.4,32,11,6.Kalahari-RBH-FieldBook-18494-19947.pdf,1655,spring,diurnal,yes,no,0.025
15090,KLL,20.43,-26.23,Chondrodactylus angulifer,M,1969-11-28,20.25,NA,90,65,24,25.4,11,4.Kalahari-RBH-FieldBook-16113-18503.pdf,2015,spring,nocturnal,no,no,0.4
15091,KLL,20.43,-26.23,Chondrodactylus angulifer,F,1969-11-28,21,NA,89,62,25.6,23,11,4.Kalahari-RBH-FieldBook-16113-18503.pdf,2100,spring,nocturnal,no,no,NA
15092,KLK,20.44,-25.45,Agama aculeata,M,1969-11-29,10.95,NA,112,160,37.2,34.4,11,2.Kalahari-LC-FieldBook-15001-16385.pdf,1057,spring,diurnal,yes,no,1.5
