SVL,HL,HW,HD,JL,FLL,HLL,FFL,HFL,Tail,Site,Number,Genus_species
80,18.5,12.5,9.9,23.4,36,71,16,33,0, ,10049,Lophognathus_longirostris
98,23.5,14.8,12.7,30.3,41,83,17,38,0, ,10051,Lophognathus_longirostris
37.5,10.2,7.8,6.2,12.4,17,34,8,16,0,E,11406,Lophognathus_longirostris
37.5,10.1,7.7,6,12.3,17,34,8,17,0,E,11407,Lophognathus_longirostris
43,10.8,8.1,7.5,13.2,19,35,7,16,0,E,11420,Lophognathus_longirostris
38,10.3,7.7,0,12.7,18,34,8,16,0,E,11447,Lophognathus_longirostris
98,25,17,14,32.1,43,80,17,31,0, ,11513,Lophognathus_longirostris
72,18.2,12.1,10.2,22.6,33.5,62,14.5,27,0, ,11601,Lophognathus_longirostris
41,11,8.2,7.1,13.1,18,35,7.5,17,0,D,11731,Lophognathus_longirostris
40,10,8.5,0,12.6,18,35,7,16,0,D,11732,Lophognathus_longirostris
42,11,8,6.7,13,18,35.5,8,17.5,0,D,11734,Lophognathus_longirostris
42,11,8.3,6.8,13.5,18,37,7.5,18,0,D,11735,Lophognathus_longirostris
42,11,8,6.7,13.2,18.5,36,8,17,0,D,11736,Lophognathus_longirostris
49,12.6,9.6,7.7,15.9,22,46,10,22,0,D,11739,Lophognathus_longirostris
51,12.5,9,7.6,15.1,22,42,9,21,0,D,11740,Lophognathus_longirostris
42,11.1,8.3,6.9,13,18,36,7,17,0,D,11741,Lophognathus_longirostris
57,14,10,8.5,17.5,25,51,10,25,0,D,11748,Lophognathus_longirostris
49,12.4,8.9,7.1,15,21,41,9,20,0,D,11749,Lophognathus_longirostris
46.5,12.2,8.6,7.4,14.6,21,42,8,21,0,D,11750,Lophognathus_longirostris
43.5,11.9,8.6,6.8,14.3,20,40,8,20,0,D,11751,Lophognathus_longirostris
39,11.3,8.4,6.8,13.9,19.5,37,8,17.5,0,D,11752,Lophognathus_longirostris
45,11.9,8.6,6.8,14.1,21,42.5,9,19.5,0,D,11759,Lophognathus_longirostris
39,10.2,8.1,7.3,12.5,17,33.5,7,16,0,D,11765,Lophognathus_longirostris
40,11.1,8.2,7.5,13.5,18,39,8,19,0,D,11766,Lophognathus_longirostris
44,11.5,8.5,7.1,13.6,18,39.5,8,18.5,0,D,11768,Lophognathus_longirostris
94,23.5,15.5,13.1,30.1,44,86,18,36,0,D,11770,Lophognathus_longirostris
39,10.9,8,6.5,13,16,34,7,16,0,D,11771,Lophognathus_longirostris
45,12.3,9,7.6,15.2,21,41,9,19,0,D,11773,Lophognathus_longirostris
39.5,10.5,8,6.8,12.8,18,35,7,17,0,D,11776,Lophognathus_longirostris
40,10.4,7.8,6.2,12.5,17,33,7,16,0,D,11782,Lophognathus_longirostris
38,11,8.5,6.9,12.8,17,35,7,17,0,D,11843,Lophognathus_longirostris
45,11.9,8.9,7.5,14.7,20,39,8,19,0,D,11844,Lophognathus_longirostris
88,21.7,14.7,12.1,27.6,37,79,15,37,0,D,11935,Lophognathus_longirostris
46,12.2,9.1,7.2,14.5,20,43,8,21,0,D,11977,Lophognathus_longirostris
45,11.8,8.8,7.4,14,19,33,8,19,0,D,11980,Lophognathus_longirostris
41,11.2,8,6.7,13,18,35,7,17,0,D,11981,Lophognathus_longirostris
68,16.3,11.6,10,20.7,30,63,11,28,0,E,12130,Lophognathus_longirostris
61,15.3,10.9,8.7,18.8,27,56,10,27,0,E,12203,Lophognathus_longirostris
47,12.5,9.1,7.2,14.8,20,41,8,20,0,E,12231,Lophognathus_longirostris
51,12.6,9.7,7.7,14.7,23,45,10,21,0,I,12414,Lophognathus_longirostris
98,22.3,14,11.7,28.1,42,83,17,37,0,D,12708,Lophognathus_longirostris
70,17.3,11.2,9.8,21.5,31,66,13,31,0,E,12880,Lophognathus_longirostris
95,23,14.7,12.4,28.8,42,78.5,14,34.5,0,E,12926,Lophognathus_longirostris
91,21.5,14,11.5,27.2,41,73,16,36,0,E,13133,Lophognathus_longirostris
102,24.1,15.8,12.6,30,41,86,16,39,0,E,13148,Lophognathus_longirostris
61,14.8,10,8,18.4,26,53,11,24,185,E,1831,Lophognathus_longirostris
98,22.1,13.7,10.7,27,34,77,17,33,304,E,1837,Lophognathus_longirostris
48,12.6,8.9,7,14.8,20,43,8,20,136,R,828,Lophognathus_longirostris
39,7.3,6.9,5.3,12.4,18,35,8,18,105,R,884,Lophognathus_longirostris
69,15.8,10.5,8.7,18.9,29,57,12,26,202,R,1126,Lophognathus_longirostris
53,12.6,9.1,6.7,15,23,45,9,20,160,R,1127,Lophognathus_longirostris
99,23.6,14.9,11.7,29.2,39,84,18,36,307,R,1141,Lophognathus_longirostris
97,21.3,14.4,10.9,26.9,40,84,17,35,282,R,1168,Lophognathus_longirostris
64,14.9,10.4,7.7,18.3,26,53,12,25,193,R,1209,Lophognathus_longirostris
97,22.4,14,11.2,28.1,41,74,17,36,321,R,1445,Lophognathus_longirostris
91,21.6,14.5,10.4,25.2,38,82,17,33,291,R,1451,Lophognathus_longirostris
59,15.6,10.6,8,19.3,26,50,13,23,190,R,1535,Lophognathus_longirostris
104,26.3,17,13.8,33.2,36,89,19,37,332,R,1540,Lophognathus_longirostris
104,23.7,14.6,11.4,29.6,41,83,20,35,294,R,1766,Lophognathus_longirostris
102,23.2,14.7,12,28.5,43,87,19,36,319,R,1768,Lophognathus_longirostris
64,15.9,10.8,8.2,19.9,28,56,13,28,226,R,1823,Lophognathus_longirostris
69,15.5,10.2,8.5,19.2,26,60,12,27,208,R,1910,Lophognathus_longirostris
68,17,10.9,8.8,20.9,30,62,14,29,229,R,1925,Lophognathus_longirostris
76,18.1,12.3,9.5,22.4,33,67,15,31,247,R,2009,Lophognathus_longirostris
60,15,10,8.3,19.3,27,53,12,24,190,R,2010,Lophognathus_longirostris
69,16.3,10.9,8.7,19.6,30,59,13,28,221,R,2213,Lophognathus_longirostris
107,28.7,17.7,14.5,35.7,41,84,20,36,319,R,2220,Lophognathus_longirostris
84,18.4,12.2,9.6,24,32,66,17,29,241,R,2293,Lophognathus_longirostris
94,21.8,14,10.9,27.3,37,76,18,33,296,R,2323,Lophognathus_longirostris
108,27.7,17,14.3,35.7,43,91,21,40,292,R,2475,Lophognathus_longirostris
96,23.2,14,10.6,27.8,36,86,16,35,325,R,2740,Lophognathus_longirostris
81,18.8,12,9.4,22.5,34,67,15,31,270,R,2773,Lophognathus_longirostris
37,10,7.7,6,12.5,17,33,7,15,105,R,2785,Lophognathus_longirostris
45,10.8,8.1,5.5,12.8,20,36,9,18,116,R,3943,Lophognathus_longirostris
47,11.7,8.4,5.7,14.4,21,41,10,19,134,D,811,Lophognathus_longirostris
58,13.9,9.9,8.1,16.9,26,49,11,22,172,D,823,Lophognathus_longirostris
28,0,3.5,2.6,6.6,7.5,11.5,3.5,5.5,0, ,9769,Menetia_greyii
28.5,0,3.1,2.5,5.7,6,9.5,2.5,5,0, ,10153,Menetia_greyii
29.5,0,3.1,2.5,6.4,7.5,9.5,3,5,0,A,10251,Menetia_greyii
27.5,0,3,2.3,5.6,6,9,2.5,4,0,A,10262,Menetia_greyii
30,0,3.1,2.4,6.5,7.5,11,2.5,6,0,A,10268,Menetia_greyii
18,0,2.4,2.1,4.9,5.5,8,2,4.5,0,E,10451,Menetia_greyii
19.5,0,2.5,2.1,5.1,4.5,7.5,2,4,0,A,10577,Menetia_greyii
20.5,0,2.5,1.8,4.7,5.5,7.5,2,3.5,0,A,10626,Menetia_greyii
30.5,0,3.4,2.7,6.4,7.5,10.5,3,5.5,0,L,11063,Menetia_greyii
25.5,0,3.1,2.6,6.3,7,9,2.5,5,0,N,11104,Menetia_greyii
28,0,3.2,2.6,6.1,6.5,9.5,3,5,0,A,11156,Menetia_greyii
31.5,0,3.9,3.1,6.5,7.5,10,3,6,0,L,12016,Menetia_greyii
0,0,3.1,2.7,6.5,7,10,3.5,5,0,L,12057,Menetia_greyii
32,0,3.4,2.8,6.2,7.5,10.5,3,5.5,0,N,12941,Menetia_greyii
27.5,0,3,3.1,6.2,6.5,10,2.5,5.5,0,A,13269,Menetia_greyii
29.5,0,3.1,2.4,5.9,6.5,9,2,4.5,0,I,13504,Menetia_greyii
24,3.7,2.5,1.9,5.5,6,9,2,5,26,L,852,Menetia_greyii
29,3.9,2.6,1.9,5.5,7,10,2,6,0,L,1245,Menetia_greyii
20,3.8,2.3,1.7,5.1,5,8,2,5,0,L,3289,Menetia_greyii
31,3,2,1.4,4.1,5,8,2,5,19,L,3427,Menetia_greyii
105,14.7,15.6,12.2,15.7,42,47,13,14,0, ,9766,Moloch_horridus
108,14.8,15.5,13.1,15.3,44,50,13,16,0, ,9882,Moloch_horridus
0,15.6,16.9,12.5,16.9,45,55,9,10,0,A,10007,Moloch_horridus
62,10.8,11,10.1,10.8,27,32,10,10,0,A,10011,Moloch_horridus
112,15.6,16.2,12.4,16.2,44,49,13,14,0,A,10012,Moloch_horridus
102,14.5,15.2,11.7,15.3,46,54,15,15,0,M,10046,Moloch_horridus
98,14.8,14.9,12.1,15,43,52,14,16,0,D,10067,Moloch_horridus
101,15,15.1,12.4,15.1,44,51,13,14,0, ,10269,Moloch_horridus
80,13.8,14.2,11.4,0,36,40,10,12,0, ,10460,Moloch_horridus
93,14.7,15.5,12.7,15.3,41,48,10,14,0, ,10918,Moloch_horridus
85,13.9,0,0,0,37,44,11,12,0, ,10919,Moloch_horridus
70,11.5,12.1,10.7,12,33,38,10,11,0, ,10920,Moloch_horridus
89,13.4,14.1,11.4,14.2,36,41,10,13,0, ,10921,Moloch_horridus
88,13,13.6,12,13.6,36,42,11,12,0, ,10985,Moloch_horridus
90,14.5,15.3,13,15.3,40,47,12,13,0,L,11053,Moloch_horridus
103,13.1,14,11.3,14,42,48,12,15,0,G,11132,Moloch_horridus
78,12.4,12.7,11,12.7,31,37,10,12,0, ,11149,Moloch_horridus
81,11.9,12.6,10.5,12.6,34,39,10,11,0,E,11306,Moloch_horridus
102,14,15,11.4,15,42,48,12,14,0,E,11342,Moloch_horridus
92,14.1,15,11.7,15.1,40,48,13,14,0,E,11384,Moloch_horridus
108,13.8,14.3,12.5,14.3,43,52,13,14,0,E,11385,Moloch_horridus
95,14,15.2,12.2,15.2,41,48,13,14,0,E,11386,Moloch_horridus
103,14.2,15.2,12.1,15.1,44,51,13,15,0,E,11401,Moloch_horridus
97,13.8,14.5,11.7,14.5,39,45,11,13,0,E,11405,Moloch_horridus
102,14.2,14.8,12.1,14.7,44,51,13,14,0,E,11408,Moloch_horridus
104,14.4,15.5,12.6,15.3,40,49,12,14,0,E,11415,Moloch_horridus
89,12.9,13.7,11.2,13.6,36,42,11,12,0,E,11428,Moloch_horridus
112,14.3,15.8,13.2,15.8,47,52,14,15,0,E,11445,Moloch_horridus
77,12.1,12.7,10.7,12.6,36,41,11,13,0,E,11446,Moloch_horridus
102,13.9,14.5,12.6,14.4,43,55,12,15,0,E,11452,Moloch_horridus
58,9.8,10.1,9.2,9.9,23,27,7,9,0,E,11459,Moloch_horridus
110,14.1,15.1,11.8,15.2,46,51,14,14,0,E,11461,Moloch_horridus
100,13.1,14.9,11.1,15,42,46,14,15,0,E,11466,Moloch_horridus
97,13.7,15,12,15,43,52,13,14,0,E,11472,Moloch_horridus
91,13.6,14.6,12.1,14.3,39,47,11,13,0,E,11473,Moloch_horridus
47,9,9.1,8.2,9.1,19,23,6,7,0,E,11479,Moloch_horridus
50,9.6,10.1,8.5,10.1,24,27,7,8,0,E,11491,Moloch_horridus
71,11.3,11.9,10,11.9,31,37,10,11,0,L,11497,Moloch_horridus
99,14.7,15.2,11.6,15.6,43,47,12,14,0,I,11715,Moloch_horridus
87,13.9,14.3,12.1,14.5,42,49,12,15,0,D,11764,Moloch_horridus
115,15.4,16.6,10.9,16.6,45,54,13,15,0,D,11781,Moloch_horridus
86,13.3,13.6,11.5,13.7,36,41,10,12,0,D,11785,Moloch_horridus
92,14.3,15,11.5,15.2,42,49,11,14,0,D,11877,Moloch_horridus
110,13.8,15.5,12.6,15.4,46,51,13,15,0,D,11896,Moloch_horridus
87,12.8,13.9,11.2,13.9,39,46,12,14,0,D,11905,Moloch_horridus
102,14.2,15.1,11.7,15.1,41,48,13,14,0,D,11911,Moloch_horridus
89,14,14.2,11,14.6,38,45,11,14,0,D,11912,Moloch_horridus
101,14.5,15.3,12.4,15.2,45,51,14,16,0,D,11913,Moloch_horridus
114,14.3,15.2,12.3,15.3,46,53,14,15,0,D,11914,Moloch_horridus
89,12.8,13.7,11,13.9,39,45,11,13,0,D,11932,Moloch_horridus
102,14.1,15.4,11.2,15.3,43,49,12,15,0,M,11990,Moloch_horridus
93,13.9,15,11.4,15,39,45,11,13,0,L,12002,Moloch_horridus
84,13.6,14.2,10.8,14.2,36,44,10,12,0,L,12003,Moloch_horridus
104,14.4,14.7,11.5,15.5,44,50,13,14,0,L,12041,Moloch_horridus
71,12.2,12.5,10,12.5,31,35,9,11,0,L,12043,Moloch_horridus
62,10.3,10.6,9,10.5,26,30,8,9,0,E,12079,Moloch_horridus
91,13,13.7,11,13.4,39,46,12,13,0,E,12103,Moloch_horridus
81,12.7,13.8,10.6,13.7,34,42,11,13,0,E,12109,Moloch_horridus
98,14,15,11.3,15,39,44,13,14,0,E,12117,Moloch_horridus
102,13.6,14,10.6,14,43,50,13,15,0,E,12121,Moloch_horridus
102,13.7,14.5,11.1,14.5,42,49,13,14,0,E,12128,Moloch_horridus
89,13.2,13.7,10.3,13.7,38,47,12,14,0,E,12129,Moloch_horridus
98,14.2,15.1,12.4,15.1,43,52,12,14,0,E,12135,Moloch_horridus
92,13.2,14.1,11,14.1,40,46,12,13,0,E,12136,Moloch_horridus
93,13.6,14.3,11.1,14.3,38,45,13,13,0,E,12138,Moloch_horridus
87,12.7,13.4,10.6,13.4,40,45,12,13,0,E,12139,Moloch_horridus
83,12.3,13.1,10.2,13.1,36,44,10,11,0,E,12163,Moloch_horridus
98,13.6,14.3,11,14.4,46,51,13,14,0,E,12169,Moloch_horridus
85,13.1,13.9,11.1,13.7,40,48,12,14,0,E,12171,Moloch_horridus
105,13,14.5,12.1,14.2,39,45,12,13,0,E,12172,Moloch_horridus
97,13.1,13.8,11.6,13.9,39,46,12,14,0,E,12173,Moloch_horridus
94,13.2,13.7,10.4,13.9,40,46,12,13,0,E,12174,Moloch_horridus
67,10.6,11.7,9.7,11.7,29,33,9,10,0,E,12196,Moloch_horridus
86,13.2,13.5,10.9,13.5,40,49,12,14,0,E,12260,Moloch_horridus
94,13.5,14.3,10.7,14.3,40,47,13,14,0,E,12265,Moloch_horridus
82,12.8,13.1,10.5,12.9,34,40,10,11,0,E,12266,Moloch_horridus
97,13.6,14.1,11.6,14,42,47,12,14,0,E,12268,Moloch_horridus
83,12.7,13.4,10.2,13.4,37,44,11,12,0,E,12300,Moloch_horridus
67,10.4,11.2,9,11.2,29,33,9,10,0,E,12301,Moloch_horridus
58,10.4,10.5,9.2,10.3,25,28,8,9,0,E,12302,Moloch_horridus
85,12.2,13.5,10.5,13.6,39,45,11,13,0,E,12303,Moloch_horridus
87,12.8,13.1,10.2,13.2,37,44,11,13,0,E,12309,Moloch_horridus
101,13,13.8,11.4,13.8,39,47,12,14,0,E,12310,Moloch_horridus
73,11.7,12.1,10.5,12,30,35,10,11,0,E,12313,Moloch_horridus
105,14.5,15.1,12.1,14.9,42,50,12,14,0,I,12488,Moloch_horridus
92,13.4,13.2,10.7,13,41,47,12,13,0,I,12489,Moloch_horridus
101,14.2,15,12.6,15.3,42,48,12,14,0,A,12498,Moloch_horridus
80,12.5,12.6,10.3,12.6,38,41,11,12,0,A,12530,Moloch_horridus
87,13.3,14.2,11.8,13.6,40,47,12,14,0,A,12549,Moloch_horridus
88,11.9,12.4,10,12.4,37,43,12,13,0,D,12706,Moloch_horridus
60,10.6,10.6,9.2,10.9,26,30,9,9,0,A,12798,Moloch_horridus
76,12.6,12.8,10.6,12.7,32,39,10,11,0,A,12799,Moloch_horridus
57,10.6,11.3,9.5,11.2,27,30,9,10,0,A,12814,Moloch_horridus
87,13.7,14.4,11.2,14.2,39,46,13,14,0,S,12828,Moloch_horridus
92,13.4,14.3,11.3,14.2,39,46,12,13,0,L,12831,Moloch_horridus
90,13.2,14.1,11.3,14.1,38,44,12,13,0,L,12850,Moloch_horridus
75,11.9,12.1,10.1,12.1,33,39,10,11,0,E,13120,Moloch_horridus
98,14.5,15.4,12,15.4,42,50,13,15,0,E,13137,Moloch_horridus
74,11.3,12.2,9.3,12.1,30,37,10,10,0,E,13139,Moloch_horridus
102,14,14.9,11.2,14.9,41,47,12,12,0,E,13142,Moloch_horridus
102,14,15.1,11.6,15.1,43,49,12,13,0,E,13144,Moloch_horridus
77,12,12.3,10.3,12.2,34,41,10,12,0,E,13151,Moloch_horridus
115,15.3,16.7,12.1,16.6,48,53,14,15,0,I,13175,Moloch_horridus
108,13.5,14.5,11.7,14.6,43,51,14,15,0,D,13435,Moloch_horridus
96,14.3,14.5,10.8,18.9,42,53,13,15,70,E,1832,Moloch_horridus
86,13.1,13.3,10.1,17.4,41,50,14,14,63,E,1835,Moloch_horridus
88,14.5,14.4,11.2,19.5,40,48,12,15,63,E,3491,Moloch_horridus
85,12.9,12.8,9.7,18.3,39,49,11,14,60,E,3798,Moloch_horridus
98,14,13.8,10.8,18.3,42,52,14,15,77,E,3804,Moloch_horridus
87,0,0,0,0,35,45,10,13,56,I,803,Moloch_horridus
86,13.4,13.1,9.6,17.5,39,49,12,14,66,I,837,Moloch_horridus
87,13.3,13.1,10.1,18.5,42,54,14,15,69,I,860,Moloch_horridus
105,14.4,13.8,10.7,18.6,43,54,13,14,77,I,1828,Moloch_horridus
82,11.9,11.7,10.2,13.2,37,43,12,10,60,L,883,Moloch_horridus
93,13.7,14.2,10.2,18.3,42,50,13,14,65,L,1025,Moloch_horridus
98,13.2,11.8,11,14.8,42,51,10,10,70,L,1708,Moloch_horridus
102,13.8,11.5,12,14.1,42,56,12,11,75,L,2042,Moloch_horridus
90,13.4,12.8,10.9,14.4,41,51,11,11,66,L,2175,Moloch_horridus
36,7,5.1,3.9,8.5,15,19,5,5,26,L,3094,Moloch_horridus
86,11.9,10.7,10,13.6,38,45,10,11,70,L,3284,Moloch_horridus
82,13,11.5,10.3,15.9,40,47,12,11,65,L,3573,Moloch_horridus
93,13.5,14.2,11.1,20.9,39,50,13,15,67,R,795,Moloch_horridus
85,13.8,11.8,10.2,14.3,40,48,10,12,71,R,836,Moloch_horridus
88,12.2,12.7,10.3,17.8,36,45,11,13,65,R,875,Moloch_horridus
75,11.5,11.7,8.7,16.1,33,37,10,11,57,R,942,Moloch_horridus
95,11.9,10.5,10.8,13.7,39,51,15,12,65,R,1113,Moloch_horridus
80,12.4,11.2,10.4,14.3,35,44,10,11,53,R,1117,Moloch_horridus
100,13.4,13.7,11.3,15.5,36,46,9,10,65,R,1186,Moloch_horridus
93,14.2,14.6,10.4,20.5,39,49,12,14,67,R,1555,Moloch_horridus
96,12,11.8,10.5,13.7,42,48,11,14,66,R,1571,Moloch_horridus
85,12.8,13.8,11.5,15,39,48,10,14,63,R,1573,Moloch_horridus
100,14,11.9,10.5,16.2,43,50,12,12,62,R,1788,Moloch_horridus
97,12.7,10.9,10.6,15,42,52,13,12,74,R,1798,Moloch_horridus
83,12.5,12.6,9.4,17.5,40,48,13,15,64,R,1799,Moloch_horridus
85,10.7,11.2,10.4,13.8,36,46,10,11,58,R,1820,Moloch_horridus
97,14.1,14.3,10.6,19.2,43,55,13,15,69,R,1850,Moloch_horridus
87,14.4,13.3,10.1,19.4,42,52,13,14,70,R,1863,Moloch_horridus
94,12.7,13.7,10.5,17.3,43,54,13,15,65,R,1864,Moloch_horridus
76,11.6,11.7,8.9,17.4,36,42,10,12,65,R,1886,Moloch_horridus
93,11.5,10.8,10,16.4,40,46,12,10,72,R,1887,Moloch_horridus
85,12.5,12.1,8.7,17.3,38,47,11,13,65,R,1890,Moloch_horridus
103,13.7,14.2,10.6,18.6,44,53,14,15,74,R,1892,Moloch_horridus
80,11.5,10.5,9,13.7,38,45,11,11,61,R,1893,Moloch_horridus
95,13.8,13,9.8,18.5,42,51,12,14,72,R,1920,Moloch_horridus
111,15.2,15.1,11.1,21.2,47,56,15,16,78,R,1921,Moloch_horridus
91,12.3,11.8,10.4,14.6,36,42,10,10,61,R,1932,Moloch_horridus
90,11.9,12.5,9.7,17.6,38,50,12,14,67,R,1933,Moloch_horridus
96,12.8,12.5,11.5,14.7,41,51,10,11,75,R,1934,Moloch_horridus
94,13.4,12.8,10.3,19.3,40,50,12,14,72,R,1951,Moloch_horridus
77,11.2,12.1,9.8,17.2,34,41,11,13,60,R,1952,Moloch_horridus
85,13.4,14.2,10.1,19.2,38,49,12,14,66,R,1970,Moloch_horridus
91,13.3,13.5,10.9,18.7,39,50,11,14,77,R,1971,Moloch_horridus
98,14.6,14.4,10.4,19.9,43,53,12,15,70,R,1972,Moloch_horridus
93,13.4,14.3,10.4,19.2,44,53,13,15,70,R,2000,Moloch_horridus
94,13.4,13.6,10.4,18.3,42,53,13,16,70,R,2001,Moloch_horridus
95,13.8,14.2,10,18.2,43,51,13,15,69,R,2002,Moloch_horridus
75,11.9,11.4,9.3,16.3,38,43,12,13,60,R,2005,Moloch_horridus
89,12.5,13.1,10.1,18.2,40,49,12,14,66,R,2007,Moloch_horridus
85,13.2,12.8,10.9,16.5,38,45,10,12,60,R,2246,Moloch_horridus
91,13.5,14.1,11.1,20.2,45,55,15,16,79,R,2272,Moloch_horridus
93,13.2,12.4,11.4,16.8,42,50,10,14,70,R,2288,Moloch_horridus
83,13.2,11.6,10.4,14.3,40,55,10,10,67,R,2310,Moloch_horridus
95,13.5,12.8,11.1,16.4,42,52,15,15,70,R,2316,Moloch_horridus
90,13.3,13.5,10.3,19.3,41,49,14,15,69,R,2461,Moloch_horridus
91,13.7,13.3,10.2,19.2,41,50,14,16,69,R,2462,Moloch_horridus
89,13.7,12.8,10.1,19.2,40,50,12,14,77,R,2463,Moloch_horridus
72,12.8,13,9.4,18.6,37,47,11,13,66,R,2477,Moloch_horridus
83,11.6,11.9,10.5,11,38,48,9,16,67,R,2580,Moloch_horridus
93,15.2,14.9,10.5,19.8,43,50,13,14,73,R,2663,Moloch_horridus
90,11.9,11.4,10.7,13.8,40,45,10,10,65,R,2682,Moloch_horridus
82,12.9,12.1,11.1,14,41,49,11,12,60,R,2695,Moloch_horridus
77,12.5,12.8,9.6,17.6,38,47,12,14,67,R,2703,Moloch_horridus
76,11.7,11.3,9.2,14.6,37,45,11,14,58,R,2706,Moloch_horridus
88,13.3,13,10.4,19.1,40,49,11,15,68,R,2710,Moloch_horridus
72,12,12.4,9.3,17.5,37,45,16,13,64,R,2715,Moloch_horridus
85,12.5,11.5,10,15,41,52,11,10,68,R,2730,Moloch_horridus
77,11.9,10.3,9.6,13.2,34,42,10,11,55,R,2787,Moloch_horridus
86,11.7,10.4,9.6,14.3,35,42,9,10,56,R,2802,Moloch_horridus
94,14.2,14.7,10.4,19.4,40,50,13,15,71,R,3213,Moloch_horridus
86,13.1,13.4,9.6,17.2,38,49,12,15,68,R,3214,Moloch_horridus
92,13.7,13.4,9.6,19.2,40,49,13,15,74,R,3215,Moloch_horridus
90,12.8,13.2,10.9,15,40,48,12,13,64,R,3237,Moloch_horridus
100,14.4,12.7,11.3,16.2,45,53,13,15,72,R,3625,Moloch_horridus
91,13.8,13.5,9.8,18,42,50,13,15,72,R,3742,Moloch_horridus
85,11.9,11.8,10.4,13.6,39,45,11,11,64,R,3828,Moloch_horridus
85,12.1,10.9,10.6,14.5,38,40,11,11,60,R,3841,Moloch_horridus
92,0,0,0,0,42,50,13,14,68,R,3961,Moloch_horridus
102,13.2,12.4,10.7,15,45,51,10,12,72,R,4019,Moloch_horridus
41,8.2,5.7,4.6,10.1,12,17.5,4.5,9,0, ,10454,Morethia_butleri
45,9.2,6,4.7,10.8,13.5,18.5,5.5,9.5,0, ,10455,Morethia_butleri
44.5,8.8,6.1,4.6,10.5,12,18,4.5,9.5,0,A,10532,Morethia_butleri
46,8.9,6,4.7,10.7,13,20,6,10,0,A,10533,Morethia_butleri
43,8.9,5.9,4.2,10.8,13,20.5,5.5,10,0,A,10598,Morethia_butleri
50,9.2,6.6,4.7,10.7,12,19,5,9,0,I,11706,Morethia_butleri
53,9.8,6.9,5.3,11.9,13,19.5,5,9,0,I,11707,Morethia_butleri
39,8.1,5.6,4.2,9.9,10,16,4.5,9,0,E,12089,Morethia_butleri
40.5,8.7,5.9,4.4,10,12,17,4.5,9,0,G,12368,Morethia_butleri
44,8.7,5.8,4.4,10.5,13,19,6,10.5,0,A,12574,Morethia_butleri
42,8.6,6.1,4.5,10.6,12,17.5,5.5,9,0,E,12884,Morethia_butleri
21.5,5.8,4.1,2.7,6.8,8,11.5,3.5,6.5,0,A,13301,Morethia_butleri
56.5,10.1,7,5.6,11.9,13.5,20,5.5,10,0,A,13302,Morethia_butleri
39,6.7,4.7,3,9.6,10,15,5,7,0,L,2897,Morethia_butleri
0,0,0,0,0,11,18,4,8,67,R,1851,Morethia_butleri
42,7.5,4.4,3.3,8.8,10,13,4,7,66,Z,789,Morethia_butleri
56,15.2,11,5.7,15.4,23,29,8,10,0, ,9771,Nephrurus_laevissimus
54,15.5,11,5.5,15.5,23,26,7,9,0,       ,10052,Nephrurus_laevissimus
75,20.6,16.9,7.8,21,30,37,9,14,0,       ,10054,Nephrurus_laevissimus
60,15.9,13,6,17.3,27,30,9,10,0,       ,10056,Nephrurus_laevissimus
58,16.1,12.9,5.9,16.3,24,28,8,10,0,       ,10057,Nephrurus_laevissimus
60,15.9,10.5,5.5,16.5,24,30,8,11,0,E,11273,Nephrurus_laevissimus
50,12.4,8.8,4.9,12.8,19,25,6,9,0,E,11312,Nephrurus_laevissimus
39,10.6,6.9,4,11.2,0,0,0,0,0,E,11355,Nephrurus_laevissimus
43,11.6,7.6,4.4,12.3,18,21,6,8,0,E,11389,Nephrurus_laevissimus
43,11.9,7.6,3.7,12.5,18,23,6,8,0,E,11450,Nephrurus_laevissimus
39,10.7,8.2,3.7,11,18,21,7,8,0,D,11789,Nephrurus_laevissimus
37,10.3,7.4,3.4,11.1,16,21,5,7,0,D,11790,Nephrurus_laevissimus
36,10.5,7.3,4.2,10.8,15,20,6,7,0,D,11791,Nephrurus_laevissimus
52,14.7,12.4,5.8,15.6,24,28,7,10,0,D,11808,Nephrurus_laevissimus
55,14.7,11,5.9,15.8,24,30,7,11,0,D,11809,Nephrurus_laevissimus
49,13.8,10.4,5.3,14.2,21,26,7,10,0,D,11811,Nephrurus_laevissimus
39,10,6.4,4.2,10.5,17,21,6,8,0,D,11812,Nephrurus_laevissimus
51,13.5,10.2,5.3,14.4,24,25,7,10,0,D,11813,Nephrurus_laevissimus
63,16.9,14.5,6.5,17.5,28,32,9,12,0,D,11814,Nephrurus_laevissimus
53,14,11.7,5.5,14.1,23,25,8,11,0,D,11815,Nephrurus_laevissimus
38,10.7,7.4,4.2,11.4,17,23,6,8,0,D,11816,Nephrurus_laevissimus
54,14.9,11.8,5.5,15.1,22,26,8,10,0,D,11817,Nephrurus_laevissimus
59,15.6,11.4,6.3,16,23,27,8,10,0,D,11818,Nephrurus_laevissimus
34,9.9,5.4,3.3,9.9,16,19,5,6,0,D,11819,Nephrurus_laevissimus
63,15.9,12.5,6,16.4,25,32,8,11,0,D,11820,Nephrurus_laevissimus
59,15.5,11.6,6.6,15.9,25,30,9,11,0,D,11822,Nephrurus_laevissimus
57,15.5,12.8,6,15.9,22,30,8,11,0,D,11836,Nephrurus_laevissimus
68,18.5,15.9,7,18.7,28,34,9,12,0,D,11837,Nephrurus_laevissimus
