Number,site,ID,Genus,species,Genus species,Sex_old,Age_est,Sex,at,bt,time_orig,Date,Day,Month,yr,date,
975,L,975_L,Ctenotus,quatt,Ctenotus quatt,UNK,UNK,UNK,27.4,30.8,1228,241078,24,10,1978,24/10/1978,
2177,L,2177_L,Gehyra,variegata,Gehyra variegata,UNK,UNK,UNK,29.4,30.8,1930,261278,26,12,1978,26/12/1978,
1986,R,1986_R,Gehyra,variegata,Gehyra variegata,J ,Juvenile,UNK,29.9,30.8,2025,141278,14,12,1978,14/12/1978,
2227,R,2227_R,Gehyra,variegata,Gehyra variegata,UNK,UNK,UNK,30,30.8,1941,291278,29,12,1978,29/12/1978,
1786,R,1786_R,Ctenotus,brooksi,Ctenotus brooksi,UNK,UNK,UNK,17.3,31,910,31278,3,12,1978,3/12/1978,
1014,L,1014_L,Ctenophorus,isolepis,Ctenophorus isolepis,J ,Juvenile,UNK,20,31,1140,271078,27,10,1978,27/10/1978,
859,L,859_L,Gehyra,variegata,Gehyra variegata,UNK,UNK,UNK,20.8,31,1610,240878,24,8,1978,24/8/1978,
891,R,891_R,Pogona,minor,Pogona minor,F ,Adult,FEMALE,23.6,31,1506,300878,30,8,1978,30/8/1978,
1234,R,1234_R,Liopholis,inornata,Liopholis inornata,UNK,UNK,UNK,25,31,830,61178,6,11,1978,6/11/1978,
1633,L,1633_L,Liopholis,striata,Liopholis striata,UNK,UNK,UNK,28.6,31,908,281178,28,11,1978,28/11/1978,
1189,R,1189_R,Varanus,tristis,Varanus tristis,UNK,UNK,UNK,28.7,31,812,41178,4,11,1978,4/11/1978,
2225,R,2225_R,Gehyra,variegata,Gehyra variegata,F ,Adult,FEMALE,30,31,1937,291278,29,12,1978,29/12/1978,
2235,R,2235_R,Gehyra,variegata,Gehyra variegata,UNK,UNK,UNK,30,31,1935,291278,29,12,1978,29/12/1978,
1984,R,1984_R,Gehyra,variegata,Gehyra variegata,UNK,UNK,UNK,30.2,31,2012,141278,14,12,1978,14/12/1978,
2234,R,2234_R,Gehyra,variegata,Gehyra variegata,UNK,UNK,UNK,30.5,31,1930,291278,29,12,1978,29/12/1978,
2224,R,2224_R,Gehyra,variegata,Gehyra variegata,M ,Adult,MALE,29.9,31.1,1933,291278,29,12,1978,29/12/1978,
1982,R,1982_R,Gehyra,variegata,Gehyra variegata,F ,Adult,FEMALE,30.2,31.1,1952,141278,14,12,1978,14/12/1978,
2260,R,2260_R,Nephrurus,laevissimus,Nephrurus laevissimus,UNK,UNK,UNK,31.6,31.1,2011,301278,30,12,1978,30/12/1978,
802,R,802_R,Moloch,horridus,Moloch horridus,M ,Adult,MALE,16.4,31.2,1055,130878,13,8,1978,13/8/1978,
848,L,848_L,Gehyra,variegata,Gehyra variegata,UNK,UNK,UNK,20.6,31.2,1106,240878,24,8,1978,24/8/1978,
1300,L,1300_L,Ctenophorus,isolepis,Ctenophorus isolepis,M ,Adult,MALE,20.8,31.2,1245,111178,11,11,1978,11/11/1978,
989,L,989_L,Gehyra,variegata,Gehyra variegata,UNK,UNK,UNK,24,31.2,812,251078,25,10,1978,25/10/1978,
1538,R,1538_R,Delma,butleri,Delma butleri,UNK,UNK,UNK,25.8,31.2,1220,181178,18,11,1978,18/11/1978,
1930,R,1930_R,Liopholis,inornata,Liopholis inornata,UNK,UNK,UNK,27.1,31.2,953,121278,12,12,1978,12/12/1978,
1985,R,1985_R,Gehyra,variegata,Gehyra variegata,UNK,UNK,UNK,30.3,31.2,2020,141278,14,12,1978,14/12/1978,
870,R,870_R,Ctenotus,dux,Ctenotus dux,B ,Yearling,UNK,18.2,31.3,1008,270878,27,8,1978,27/8/1978,
834,R,834_R,Ctenophorus,isolepis,Ctenophorus isolepis,J ,Juvenile,UNK,19.6,31.3,920,210878,21,8,1978,21/8/1978,
1660,L,1660_L,Ctenophorus,isolepis,Ctenophorus isolepis,UNK,UNK,UNK,19.9,31.3,740,291178,29,11,1978,29/11/1978,
858,L,858_L,Ctenotus,pantherinus,Ctenotus pantherinus,J ,Juvenile,UNK,23.5,31.3,1434,240878,24,8,1978,24/8/1978,
1350,L,1350_L,Gehyra,variegata,Gehyra variegata,UNK,UNK,UNK,24.2,31.3,1557,121178,12,11,1978,12/11/1978,
970,L,970_L,Gehyra,variegata,Gehyra variegata,UNK,UNK,UNK,25,31.3,1050,241078,24,10,1978,24/10/1978,
1240,L,1240_L,Liopholis,striata,Liopholis striata,UNK,UNK,UNK,32.3,31.3,1623,61178,6,11,1978,6/11/1978,
1317,L,1317_L,Ctenophorus,isolepis,Ctenophorus isolepis,F ,Adult,FEMALE,18.7,31.4,750,121178,12,11,1978,12/11/1978,
1922,R,1922_R,Ctenotus,quatt,Ctenotus quatt,UNK,UNK,UNK,20.2,31.4,735,121278,12,12,1978,12/12/1978,
1800,R,1800_R,Liopholis,inornata,Liopholis inornata,UNK,UNK,UNK,21.9,31.4,920,41278,4,12,1978,4/12/1978,
2073,L,2073_L,Ctenotus,helenae,Ctenotus helenae,UNK,UNK,UNK,21.9,31.4,826,171278,17,12,1978,17/12/1978,
1727,L,1727_L,Liopholis,striata,Liopholis striata,UNK,UNK,UNK,29.7,31.4,1748,301178,30,11,1978,30/11/1978,
1993,R,1993_R,Gehyra,variegata,Gehyra variegata,UNK,UNK,UNK,30.2,31.4,2000,141278,14,12,1978,14/12/1978,
1724,L,1724_L,Liopholis,striata,Liopholis striata,F ,Adult,FEMALE,31.2,31.4,1703,301178,30,11,1978,30/11/1978,
1623,L,1623_L,Gehyra,variegata,Gehyra variegata,UNK,UNK,UNK,32,31.4,2023,271178,27,11,1978,27/11/1978,
2268,R,2268_R,Nephrurus,laevissimus,Nephrurus laevissimus,UNK,UNK,UNK,33.9,31.4,2010,301278,30,12,1978,30/12/1978,
791,R,791_R,Ctenotus,dux,Ctenotus dux,UNK,UNK,UNK,18.6,31.5,1017,300778,30,7,1978,30/7/1978,
2036,L,2036_L,Ctenotus,calurus,Ctenotus calurus,UNK,UNK,UNK,22.2,31.5,831,161278,16,12,1978,16/12/1978,
2196,L,2196_L,Ctenotus,calurus,Ctenotus calurus,B ,Yearling,UNK,22.8,31.5,755,281278,28,12,1978,28/12/1978,
1859,R,1859_R,Nephrurus,laevissimus,Nephrurus laevissimus,UNK,UNK,UNK,31.5,31.5,1925,81278,8,12,1978,8/12/1978,
979,L,979_L,Gehyra,variegata,Gehyra variegata,UNK,UNK,UNK,18.6,31.6,719,251078,25,10,1978,25/10/1978,
2034,L,2034_L,Ctenotus,calurus,Ctenotus calurus,UNK,UNK,UNK,21.6,31.6,825,161278,16,12,1978,16/12/1978,
1806,R,1806_R,Ctenotus,dux,Ctenotus dux,UNK,UNK,UNK,24.2,31.6,1800,41278,4,12,1978,4/12/1978,
957,R,957_R,Moloch,horridus,Moloch horridus,F ,Adult,FEMALE,26.2,31.6,752,211078,21,10,1978,21/10/1978,
1932,R,1932_R,Moloch,horridus,Moloch horridus,UNK,UNK,UNK,27.1,31.6,1039,121278,12,12,1978,12/12/1978,
1879,R,1879_R,Gehyra,variegata,Gehyra variegata,F ,Adult,FEMALE,29.8,31.6,1925,91278,9,12,1978,9/12/1978,
1167,R,1167_R,Varanus,tristis,Varanus tristis,F ,Adult,FEMALE,30.2,31.6,900,31178,3,11,1978,3/11/1978,
2269,R,2269_R,Nephrurus,laevissimus,Nephrurus laevissimus,UNK,UNK,UNK,33.4,31.6,2020,301278,30,12,1978,30/12/1978,
1839,R,1839_R,Gehyra,variegata,Gehyra variegata,UNK,UNK,UNK,,31.6,1925,71278,7,12,1978,7/12/1978,
1798,R,1798_R,Moloch,horridus,Moloch horridus,UNK,UNK,UNK,18.4,31.7,742,41278,4,12,1978,4/12/1978,
828,R,828_R,Lophognathus,longirostris,Lophognathus longirostris,UNK,UNK,UNK,20.3,31.7,1215,200878,20,8,1978,20/8/1978,
1185,R,1185_R,Moloch,horridus,Moloch horridus,UNK,UNK,UNK,25.4,31.7,721,41178,4,11,1978,4/11/1978,
1832,E,1832_E,Moloch,horridus,Moloch horridus,UNK,UNK,UNK,29.7,31.7,829,71278,7,12,1978,7/12/1978,
2263,R,2263_R,Strophurus,ciliaris,Strophurus ciliaris,UNK,UNK,UNK,32,31.7,2035,301278,30,12,1978,30/12/1978,
1074,R,1074_R,Ctenotus,helenae,Ctenotus helenae,UNK,UNK,UNK,18.8,31.8,1615,291078,29,10,1978,29/10/1978,
1210,R,1210_R,Varanus,eremius,Varanus eremius,UNK,UNK,UNK,23.3,31.8,840,51178,5,11,1978,5/11/1978,
971,L,971_L,Ctenotus,schomburgkii,Ctenotus schomburgkii,UNK,UNK,UNK,25,31.8,1055,241078,24,10,1978,24/10/1978,
1117,R,1117_R,Moloch,horridus,Moloch horridus,UNK,UNK,UNK,27,31.8,1008,11178,1,11,1978,1/11/1978,
1176,R,1176_R,Gehyra,variegata,Gehyra variegata,UNK,UNK,UNK,29.5,31.8,1915,31178,3,11,1978,3/11/1978,
1142,R,1142_R,Ctenotus,dux,Ctenotus dux,B ,Yearling,UNK,22.7,31.9,736,21178,2,11,1978,2/11/1978,
857,L,857_L,Ctenophorus,isolepis,Ctenophorus isolepis,UNK,UNK,UNK,23.7,31.9,1430,240878,24,8,1978,24/8/1978,
1186,R,1186_R,Moloch,horridus,Moloch horridus,F ,Adult,FEMALE,25.2,31.9,725,41178,4,11,1978,4/11/1978,
1958,R,1958_R,Liopholis,striata,Liopholis striata,UNK,UNK,UNK,33,31.9,1728,131278,13,12,1978,13/12/1978,
893,R,893_R,Ctenotus,quatt,Ctenotus quatt,B ,Yearling,UNK,17.8,32,1000,310878,31,8,1978,31/8/1978,
940,R,940_R,Ctenophorus,isolepis,Ctenophorus isolepis,M ,Adult,MALE,19.7,32,945,181078,18,10,1978,18/10/1978,
1056,L,1056_L,Ctenotus,quatt,Ctenotus quatt,UNK,UNK,UNK,22.4,32,1415,281078,28,10,1978,28/10/1978,
900,R,900_R,Ctenotus,quatt,Ctenotus quatt,B ,Yearling,UNK,22.9,32,1518,310878,31,8,1978,31/8/1978,
1788,R,1788_R,Moloch,horridus,Moloch horridus,UNK,UNK,UNK,23.1,32,1214,31278,3,12,1978,3/12/1978,
1913,R,1913_R,Liopholis,striata,Liopholis striata,UNK,UNK,UNK,25,32,948,111278,11,12,1978,11/12/1978,
2160,L,2160_L,Ctenotus,quatt,Ctenotus quatt,UNK,UNK,UNK,29.8,32,1119,181278,18,12,1978,18/12/1978,
1977,R,1977_R,Gehyra,variegata,Gehyra variegata,UNK,UNK,UNK,30.5,32,1911,141278,14,12,1978,14/12/1978,
1608,R,1608_R,Liopholis,striata,Liopholis striata,UNK,UNK,UNK,31,32,855,211178,21,11,1978,21/11/1978,
2277,R,2277_R,Gehyra,variegata,Gehyra variegata,M ,Adult,MALE,34,32,2004,311278,31,12,1978,31/12/1978,
1853,R,1853_R,Liopholis,inornata,Liopholis inornata,UNK,UNK,UNK,34.1,32,855,81278,8,12,1978,8/12/1978,
1316,L,1316_L,Ctenophorus,isolepis,Ctenophorus isolepis,M ,Adult,MALE,16.5,32.1,746,121178,12,11,1978,12/11/1978,
2258,R,2258_R,Gehyra,variegata,Gehyra variegata,F ,Adult,FEMALE,29,32.1,2007,301278,30,12,1978,30/12/1978,
881,R,881_R,Ctenotus,quatt,Ctenotus quatt,UNK,UNK,UNK,21.2,32.2,1000,280878,28,8,1978,28/8/1978,
806,D,806_D,Ctenophorus,isolepis,Ctenophorus isolepis,J ,Juvenile,UNK,23,32.2,1243,170878,17,8,1978,17/8/1978,
1213,R,1213_R,Varanus,tristis,Varanus tristis,UNK,UNK,UNK,27.1,32.2,958,51178,5,11,1978,5/11/1978,
1878,R,1878_R,Gehyra,variegata,Gehyra variegata,UNK,UNK,UNK,30.8,32.2,1915,91278,9,12,1978,9/12/1978,
2261,R,2261_R,Gehyra,variegata,Gehyra variegata,UNK,UNK,UNK,32.6,32.2,2015,301278,30,12,1978,30/12/1978,
861,R,861_R,Ctenotus,pantherinus,Ctenotus pantherinus,UNK,UNK,UNK,18.7,32.3,1050,250878,25,8,1978,25/8/1978,
1907,R,1907_R,Ctenotus,dux,Ctenotus dux,UNK,UNK,UNK,20.3,32.3,719,111278,11,12,1978,11/12/1978,
1534,R,1534_R,Ctenotus,calurus,Ctenotus calurus,UNK,UNK,UNK,22.3,32.3,920,181178,18,11,1978,18/11/1978,
988,L,988_L,Gehyra,variegata,Gehyra variegata,UNK,UNK,UNK,22.5,32.3,805,251078,25,10,1978,25/10/1978,
1564,R,1564_R,Varanus,tristis,Varanus tristis,UNK,UNK,UNK,25.2,32.3,1710,191178,19,11,1978,19/11/1978,
1912,R,1912_R,Liopholis,striata,Liopholis striata,UNK,UNK,UNK,25.4,32.3,930,111278,11,12,1978,11/12/1978,
1426,L,1426_L,Ctenotus,calurus,Ctenotus calurus,UNK,UNK,UNK,27.4,32.3,938,141178,14,11,1978,14/11/1978,
2267,R,2267_R,Gehyra,variegata,Gehyra variegata,UNK,UNK,UNK,30.4,32.3,1950,301278,30,12,1978,30/12/1978,
1500,R,1500_R,Varanus,tristis,Varanus tristis,F ,Adult,FEMALE,32,32.3,1000,171178,17,11,1978,17/11/1978,
866,R,866_R,Ctenotus,pantherinus,Ctenotus pantherinus,UNK,UNK,UNK,17,32.4,1455,250878,25,8,1978,25/8/1978,
1552,R,1552_R,Ctenotus,dux,Ctenotus dux,UNK,UNK,UNK,17.9,32.4,745,191178,19,11,1978,19/11/1978,
1096,R,1096_R,Ctenotus,pantherinus,Ctenotus pantherinus,UNK,UNK,UNK,19.5,32.4,739,311078,31,10,1978,31/10/1978,
2006,R,2006_R,Liopholis,inornata,Liopholis inornata,UNK,UNK,UNK,30,32.4,1015,151278,15,12,1978,15/12/1978,
1973,R,1973_R,Gehyra,variegata,Gehyra variegata,UNK,UNK,UNK,30.2,32.4,815,141278,14,12,1978,14/12/1978,
1991,R,1991_R,Gehyra,variegata,Gehyra variegata,UNK,UNK,UNK,30.2,32.4,1925,141278,14,12,1978,14/12/1978,
1979,R,1979_R,Gehyra,variegata,Gehyra variegata,UNK,UNK,UNK,30.4,32.4,1938,141278,14,12,1978,14/12/1978,
2266,R,2266_R,Nephrurus,laevissimus,Nephrurus laevissimus,UNK,UNK,UNK,34.4,32.4,1940,301278,30,12,1978,30/12/1978,
832,R,832_R,Ctenotus,dux,Ctenotus dux,UNK,UNK,UNK,,32.4,1520,200878,20,8,1978,20/8/1978,
906,L,906_L,Ctenophorus,isolepis,Ctenophorus isolepis,F ,Adult,FEMALE,15.4,32.5,900,151078,15,10,1978,15/10/1978,
854,L,854_L,Ctenophorus,isolepis,Ctenophorus isolepis,UNK,UNK,UNK,22.7,32.5,1400,240878,24,8,1978,24/8/1978,
1028,L,1028_L,Ctenophorus,isolepis,Ctenophorus isolepis,UNK,UNK,UNK,25.5,32.5,1315,271078,27,10,1978,27/10/1978,
1091,R,1091_R,Varanus,tristis,Varanus tristis,UNK,UNK,UNK,25.9,32.5,1607,301078,30,10,1978,30/10/1978,
1828,I,1828_I,Moloch,horridus,Moloch horridus,F ,Adult,FEMALE,27.7,32.5,728,71278,7,12,1978,7/12/1978,
2257,R,2257_R,Gehyra,variegata,Gehyra variegata,UNK,UNK,UNK,33.1,32.5,2003,301278,30,12,1978,30/12/1978,
